"","<TYPE>","<TAS.SEQ>","<ACTIVITY.DATETIME>","<BID.PRICE>","<BID.SIZE>","<ASK.PRICE>","<ASK.SIZE>"
"1","Q","190581",2020-09-01 15:08:31.7042,46.78,8,46.82,4
"2","Q","190583",2020-09-01 15:08:32.3049,46.78,10,46.82,4
"3","Q","190585",2020-09-01 15:08:32.3049,46.78,10,46.82,3
"4","Q","190587",2020-09-01 15:08:32.3049,46.79,1,46.82,3
"5","Q","190589",2020-09-01 15:08:32.3173,46.78,12,46.82,3
"6","Q","190590",2020-09-01 15:08:32.3173,46.78,13,46.82,3
"7","Q","190592",2020-09-01 15:08:32.3173,46.78,10,46.82,3
"8","Q","190594",2020-09-01 15:08:32.7505,46.78,10,46.82,4
"9","Q","190596",2020-09-01 15:08:32.7562,46.78,8,46.82,4
"10","Q","190598",2020-09-01 15:08:32.7562,46.78,8,46.82,6
"11","Q","190600",2020-09-01 15:08:32.9466,46.78,8,46.82,8
"12","Q","190602",2020-09-01 15:08:32.9514,46.78,8,46.82,11
"13","Q","190604",2020-09-01 15:08:32.9514,46.78,5,46.82,11
"14","Q","190606",2020-09-01 15:08:32.9514,46.78,5,46.81,1
"15","Q","190608",2020-09-01 15:08:32.9514,46.78,4,46.81,1
"16","Q","190610",2020-09-01 15:08:33.5647,46.78,4,46.81,2
"17","Q","190612",2020-09-01 15:08:33.5647,46.78,3,46.81,2
"18","Q","190614",2020-09-01 15:08:33.5678,46.78,2,46.81,2
"19","Q","190616",2020-09-01 15:08:33.5823,46.78,2,46.81,3
"20","Q","190618",2020-09-01 15:08:34.4602,46.78,1,46.81,3
"21","Q","190620",2020-09-01 15:08:34.4602,46.77,11,46.81,3
"22","Q","190622",2020-09-01 15:08:34.4674,46.77,11,46.81,2
"23","Q","190624",2020-09-01 15:08:34.4741,46.78,1,46.81,2
"24","Q","190626",2020-09-01 15:08:34.4967,46.78,1,46.81,3
"25","Q","190628",2020-09-01 15:08:34.5011,46.78,1,46.81,2
"26","Q","190630",2020-09-01 15:08:34.5011,46.78,1,46.81,1
"27","Q","190632",2020-09-01 15:08:34.5084,46.78,1,46.82,15
"28","Q","190633",2020-09-01 15:08:34.5084,46.78,1,46.82,16
"29","Q","190635",2020-09-01 15:08:34.5084,46.77,15,46.82,16
"30","Q","190636",2020-09-01 15:08:34.5084,46.77,13,46.82,16
"31","Q","190638",2020-09-01 15:08:34.5184,46.77,13,46.81,1
"32","Q","190640",2020-09-01 15:08:34.5184,46.77,13,46.81,2
"33","Q","190642",2020-09-01 15:08:34.5613,46.77,15,46.81,2
"34","Q","190644",2020-09-01 15:08:34.5613,46.78,1,46.81,2
"35","Q","190646",2020-09-01 15:08:34.6399,46.78,1,46.81,1
"36","Q","190648",2020-09-01 15:08:34.6399,46.78,2,46.81,1
"37","Q","190650",2020-09-01 15:08:34.6399,46.78,3,46.81,1
"38","Q","190652",2020-09-01 15:08:34.6399,46.78,3,46.82,15
"39","Q","190653",2020-09-01 15:08:34.6399,46.78,3,46.82,16
"40","Q","190655",2020-09-01 15:08:34.6399,46.78,3,46.81,1
"41","Q","190657",2020-09-01 15:08:35.3017,46.78,3,46.81,2
"42","Q","190659",2020-09-01 15:08:35.3017,46.78,2,46.81,2
"43","Q","190661",2020-09-01 15:08:35.3952,46.78,1,46.81,2
"44","Q","190663",2020-09-01 15:08:35.3952,46.77,14,46.81,2
"45","Q","190664",2020-09-01 15:08:35.3952,46.77,15,46.81,2
"46","Q","190666",2020-09-01 15:08:35.8349,46.78,1,46.81,2
"47","Q","190668",2020-09-01 15:08:35.886,46.78,1,46.81,3
"48","Q","190670",2020-09-01 15:08:36.0939,46.78,2,46.81,3
"49","Q","190672",2020-09-01 15:08:36.0939,46.78,3,46.81,3
"50","Q","190674",2020-09-01 15:08:36.0969,46.78,3,46.81,2
"51","Q","190676",2020-09-01 15:08:36.102,46.78,3,46.81,1
"52","Q","190678",2020-09-01 15:08:36.102,46.78,3,46.82,16
"53","Q","190679",2020-09-01 15:08:36.102,46.78,3,46.82,17
"54","Q","889131",2020-09-02 20:24:45.039,45.07,7,45.09,1
"55","Q","889133",2020-09-02 20:24:45.0405,45.07,7,45.1,11
"56","Q","889135",2020-09-02 20:24:45.0405,45.07,8,45.1,11
"57","Q","889137",2020-09-02 20:24:45.0444,45.08,1,45.1,11
"58","Q","889139",2020-09-02 20:24:45.0471,45.07,8,45.1,11
"59","Q","889141",2020-09-02 20:24:45.0503,45.07,7,45.1,11
"60","Q","889143",2020-09-02 20:24:45.1534,45.07,8,45.1,11
"61","Q","889145",2020-09-02 20:24:45.417,45.07,7,45.1,11
"62","Q","889147",2020-09-02 20:24:46.0135,45.07,7,45.09,1
"63","Q","889149",2020-09-02 20:24:46.0135,45.07,6,45.09,1
"64","Q","889151",2020-09-02 20:24:46.0194,45.07,6,45.09,3
"65","Q","889153",2020-09-02 20:24:46.1358,45.07,2,45.09,3
"66","Q","889155",2020-09-02 20:24:46.1358,45.07,3,45.09,3
"67","Q","889157",2020-09-02 20:24:46.8295,45.07,3,45.09,2
"68","Q","889159",2020-09-02 20:24:46.8348,45.07,3,45.1,11
"69","Q","889161",2020-09-02 20:24:47.8827,45.07,3,45.1,10
"70","Q","889163",2020-09-02 20:24:47.9094,45.07,3,45.1,11
"71","Q","889165",2020-09-02 20:24:48.2466,45.07,3,45.09,1
"72","Q","889167",2020-09-02 20:24:48.2466,45.07,3,45.09,2
"73","Q","889169",2020-09-02 20:24:48.2529,45.07,3,45.09,3
"74","Q","889171",2020-09-02 20:24:48.5877,45.07,3,45.09,2
"75","Q","889173",2020-09-02 20:24:48.6974,45.07,3,45.09,3
"76","Q","889175",2020-09-02 20:24:48.7836,45.07,3,45.09,2
"77","Q","889177",2020-09-02 20:24:49.1056,45.07,3,45.09,3
"78","Q","889179",2020-09-02 20:24:49.2748,45.07,3,45.09,2
"79","Q","889181",2020-09-02 20:24:49.2774,45.07,3,45.09,1
"80","Q","889183",2020-09-02 20:24:49.2774,45.07,2,45.09,1
"81","Q","889185",2020-09-02 20:24:49.2774,45.07,2,45.09,2
"82","Q","889187",2020-09-02 20:24:49.2792,45.07,2,45.09,1
"83","Q","889189",2020-09-02 20:24:49.5827,45.08,1,45.09,1
"84","Q","889191",2020-09-02 20:24:49.5849,45.08,1,45.1,11
"85","Q","889193",2020-09-02 20:24:49.5873,45.07,1,45.1,11
"86","Q","889194",2020-09-02 20:24:49.5873,45.07,2,45.1,11
"87","Q","889196",2020-09-02 20:24:49.8095,45.07,2,45.09,1
"88","Q","889198",2020-09-02 20:24:49.8194,45.07,2,45.1,11
"89","Q","889200",2020-09-02 20:24:50.0475,45.07,2,45.1,9
"90","Q","889202",2020-09-02 20:24:50.0492,45.07,2,45.1,8
"91","Q","889204",2020-09-02 20:24:50.0515,45.08,1,45.1,8
"92","Q","889206",2020-09-02 20:24:50.0528,45.08,1,45.1,7
"93","Q","889208",2020-09-02 20:24:50.0542,45.07,1,45.1,7
"94","Q","889209",2020-09-02 20:24:50.0542,45.07,2,45.1,7
"95","Q","889211",2020-09-02 20:24:50.0595,45.08,1,45.1,7
"96","Q","889213",2020-09-02 20:24:50.1026,45.07,1,45.1,7
"97","Q","889214",2020-09-02 20:24:50.1026,45.07,2,45.1,7
"98","Q","889216",2020-09-02 20:24:50.1026,45.07,2,45.1,8
"99","Q","889218",2020-09-02 20:24:50.1656,45.07,2,45.1,7
"100","Q","889220",2020-09-02 20:24:50.1656,45.07,2,45.1,6
"101","Q","889222",2020-09-02 20:24:50.172,45.07,2,45.1,5
"102","Q","889224",2020-09-02 20:24:50.1741,45.07,2,45.1,4
"103","Q","889226",2020-09-02 20:24:50.1765,45.08,1,45.1,4
"104","Q","889228",2020-09-02 20:24:50.1808,45.08,1,45.1,3
"105","Q","898072",2020-09-03 17:21:52.7627,44.2,1,44.22,3
"106","Q","898074",2020-09-03 17:21:52.9846,44.2,1,44.22,4
"107","Q","898076",2020-09-03 17:21:52.9912,44.2,1,44.22,5
"108","Q","898078",2020-09-03 17:21:52.9912,44.19,7,44.22,5
"109","Q","898080",2020-09-03 17:21:52.9912,44.19,7,44.22,6
"110","Q","898082",2020-09-03 17:21:52.9912,44.19,7,44.22,8
"111","Q","898084",2020-09-03 17:21:52.9969,44.19,6,44.22,8
"112","Q","898086",2020-09-03 17:21:53.0014,44.19,7,44.22,8
"113","Q","898088",2020-09-03 17:21:53.0082,44.19,10,44.22,8
"114","Q","898090",2020-09-03 17:21:53.3844,44.19,9,44.22,8
"115","Q","898092",2020-09-03 17:21:53.4717,44.19,10,44.22,8
"116","Q","898094",2020-09-03 17:21:53.4717,44.19,10,44.22,6
"117","Q","898096",2020-09-03 17:21:53.5737,44.19,9,44.22,6
"118","Q","898098",2020-09-03 17:21:53.5737,44.19,9,44.22,8
"119","Q","898100",2020-09-03 17:21:53.8023,44.19,9,44.22,9
"120","Q","898102",2020-09-03 17:21:53.8023,44.19,9,44.21,1
"121","Q","898104",2020-09-03 17:21:53.8066,44.19,8,44.21,1
"122","Q","898106",2020-09-03 17:21:53.8066,44.19,8,44.21,2
"123","Q","898108",2020-09-03 17:21:53.8066,44.19,5,44.21,2
"124","Q","898110",2020-09-03 17:21:53.8066,44.19,5,44.21,3
"125","Q","898112",2020-09-03 17:21:53.8066,44.19,4,44.21,3
"126","Q","898114",2020-09-03 17:21:53.8119,44.19,3,44.21,3
"127","Q","898116",2020-09-03 17:21:53.8119,44.19,2,44.21,3
"128","Q","898118",2020-09-03 17:21:53.8173,44.19,1,44.21,3
"129","Q","898120",2020-09-03 17:21:53.8173,44.18,10,44.21,3
"130","Q","898122",2020-09-03 17:21:53.8173,44.19,1,44.21,3
"131","Q","898124",2020-09-03 17:21:53.8173,44.19,1,44.21,4
"132","Q","898126",2020-09-03 17:21:53.8239,44.18,11,44.21,4
"133","Q","898128",2020-09-03 17:21:53.8239,44.18,12,44.21,4
"134","Q","898130",2020-09-03 17:21:53.9047,44.19,1,44.21,4
"135","Q","898132",2020-09-03 17:21:53.9214,44.18,12,44.21,4
"136","Q","898134",2020-09-03 17:21:53.9272,44.18,11,44.21,4
"137","Q","898136",2020-09-03 17:21:53.9272,44.18,11,44.21,5
"138","Q","898138",2020-09-03 17:21:53.9272,44.18,10,44.21,5
"139","Q","898140",2020-09-03 17:21:53.9381,44.18,10,44.21,7
"140","Q","898142",2020-09-03 17:21:54.2341,44.18,10,44.21,6
"141","Q","898144",2020-09-03 17:21:54.2381,44.19,1,44.21,6
"142","Q","898146",2020-09-03 17:21:54.2381,44.19,1,44.21,4
"143","Q","898148",2020-09-03 17:21:54.2882,44.18,11,44.21,4
"144","Q","898150",2020-09-03 17:21:54.2882,44.18,12,44.21,4
"145","Q","898152",2020-09-03 17:21:54.3936,44.19,1,44.21,4
"146","Q","898154",2020-09-03 17:21:54.4537,44.18,12,44.21,4
"147","Q","898156",2020-09-03 17:21:54.486,44.19,1,44.21,4
"148","Q","898158",2020-09-03 17:21:54.5318,44.19,1,44.21,3
"149","Q","898160",2020-09-03 17:21:54.5318,44.19,2,44.21,3
"150","Q","898162",2020-09-03 17:21:54.5318,44.19,2,44.21,2
"151","Q","898164",2020-09-03 17:21:54.5502,44.19,3,44.21,2
"152","Q","898166",2020-09-03 17:21:54.5559,44.19,3,44.21,1
"153","Q","898168",2020-09-03 17:21:54.5559,44.19,3,44.21,2
"154","Q","898170",2020-09-03 17:21:54.5559,44.19,3,44.21,1
"155","Q","881467",2020-09-04 17:05:16.9476,43.75,15,43.78,8
"156","Q","881469",2020-09-04 17:05:17.0048,43.75,12,43.78,8
"157","Q","881471",2020-09-04 17:05:17.0048,43.75,11,43.78,8
"158","Q","881473",2020-09-04 17:05:17.0048,43.75,8,43.78,8
"159","Q","881475",2020-09-04 17:05:17.0372,43.75,7,43.78,8
"160","Q","881477",2020-09-04 17:05:17.0372,43.75,7,43.78,11
"161","Q","881479",2020-09-04 17:05:17.0372,43.75,6,43.78,11
"162","Q","881481",2020-09-04 17:05:17.0372,43.75,6,43.78,12
"163","Q","881483",2020-09-04 17:05:17.0372,43.75,6,43.78,13
"164","Q","881485",2020-09-04 17:05:17.1338,43.75,6,43.78,15
"165","Q","881487",2020-09-04 17:05:17.1393,43.75,6,43.77,2
"166","Q","881489",2020-09-04 17:05:17.145,43.75,7,43.77,2
"167","Q","881491",2020-09-04 17:05:17.2474,43.75,9,43.77,2
"168","Q","881493",2020-09-04 17:05:17.3677,43.75,9,43.77,1
"169","Q","881495",2020-09-04 17:05:17.3677,43.75,9,43.78,7
"170","Q","881497",2020-09-04 17:05:17.3677,43.75,12,43.78,7
"171","Q","881499",2020-09-04 17:05:17.3677,43.76,1,43.78,7
"172","Q","881501",2020-09-04 17:05:17.3823,43.75,12,43.78,7
"173","Q","881503",2020-09-04 17:05:17.4666,43.75,12,43.78,10
"174","Q","881505",2020-09-04 17:05:17.4666,43.75,10,43.78,10
"175","Q","881507",2020-09-04 17:05:17.4666,43.75,10,43.78,11
"176","Q","881509",2020-09-04 17:05:17.4666,43.75,7,43.78,11
"177","Q","881511",2020-09-04 17:05:17.4666,43.75,6,43.78,11
"178","Q","881513",2020-09-04 17:05:17.5092,43.75,7,43.78,11
"179","Q","881515",2020-09-04 17:05:17.519,43.75,7,43.78,10
"180","Q","881517",2020-09-04 17:05:17.519,43.75,7,43.78,7
"181","Q","881519",2020-09-04 17:05:17.5717,43.75,8,43.78,7
"182","Q","881521",2020-09-04 17:05:17.7972,43.75,8,43.78,10
"183","Q","881523",2020-09-04 17:05:17.7972,43.75,7,43.78,10
"184","Q","881525",2020-09-04 17:05:17.7972,43.75,7,43.78,11
"185","Q","881527",2020-09-04 17:05:17.7972,43.75,6,43.78,11
"186","Q","881529",2020-09-04 17:05:17.9208,43.75,6,43.78,8
"187","Q","881531",2020-09-04 17:05:17.9208,43.75,7,43.78,8
"188","Q","881533",2020-09-04 17:05:17.9266,43.75,7,43.78,7
"189","Q","881535",2020-09-04 17:05:17.9266,43.75,10,43.78,7
"190","Q","881537",2020-09-04 17:05:17.9266,43.76,1,43.78,7
"191","Q","881539",2020-09-04 17:05:17.9266,43.76,1,43.78,6
"192","Q","881541",2020-09-04 17:05:17.9309,43.76,1,43.78,5
"193","Q","881543",2020-09-04 17:05:17.936,43.76,2,43.78,5
"194","Q","881545",2020-09-04 17:05:17.936,43.76,1,43.78,5
"195","Q","881547",2020-09-04 17:05:17.9791,43.75,15,43.78,5
"196","Q","881549",2020-09-04 17:05:17.9874,43.75,13,43.78,5
"197","Q","881551",2020-09-04 17:05:17.9874,43.75,13,43.78,6
"198","Q","881553",2020-09-04 17:05:18.0289,43.75,14,43.78,6
"199","Q","881555",2020-09-04 17:05:18.1238,43.75,11,43.78,6
"200","Q","881557",2020-09-04 17:05:18.1238,43.75,12,43.78,6
"201","Q","881559",2020-09-04 17:05:18.1238,43.75,11,43.78,6
"202","Q","881561",2020-09-04 17:05:18.1238,43.75,14,43.78,6
"203","Q","881563",2020-09-04 17:05:18.1238,43.76,1,43.78,6
"204","Q","881565",2020-09-04 17:05:18.1296,43.76,2,43.78,6
